ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
13,0.000,0.000,0.000,0.000,{method 'values' of 'mappingproxy' objects}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/cuda/__init__.py:101(_nvml_based_avail)
1,0.000,0.000,0.000,0.000,{method 'numpy' of 'torch._C.TensorBase' objects}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/_utils.py:735(<lambda>)
1,0.000,0.000,0.000,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/tokenization_utils_fast.py:274(_convert_encoding)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/text_classification.py:91(_sanitize_parameters)
1,0.000,0.000,0.000,0.000,{method 'split' of 're.Pattern' objects}
2,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/autograd/grad_mode.py:183(__init__)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/os.py:766(getenv)
48,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:2551(kind)
2,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/re.py:289(_compile)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/cuda/__init__.py:776(current_device)
4,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/utils/generic.py:457(<genexpr>)
2,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/utils/generic.py:79(infer_framework_from_repr)
39,0.000,0.000,0.000,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'sub' of 're.Pattern' objects}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/_collections_abc.py:657(get)
13,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/utils/generic.py:373(<genexpr>)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/autograd/grad_mode.py:79(__enter__)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/autograd/grad_mode.py:83(__exit__)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/utils/generic.py:344(__init__)
1,0.000,0.000,0.000,0.000,{method 'expand' of 'torch._C.TensorBase' objects}
2,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/utils/generic.py:159(is_torch_tensor)
18,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/dataclasses.py:1037(<genexpr>)
7,0.000,0.000,0.000,0.000,{built-in method _abc._abc_instancecheck}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/utils/_contextlib.py:149(__new__)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/os.py:670(__getitem__)
11,0.000,0.000,0.000,0.000,{method 'replace' of 'str' objects}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/cuda/__init__.py:367(__exit__)
15,0.000,0.000,0.000,0.000,{built-in method builtins.id}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/contextlib.py:238(helper)
26,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:2857(parameters)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/utils/import_utils.py:647(is_torchdynamo_compiling)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/tokenization_utils_base.py:2671(_get_padding_truncation_strategies)
13,0.000,0.000,0.000,0.000,{built-in method sys.getrecursionlimit}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/modules/container.py:315(__iter__)
2,0.000,0.000,0.000,0.000,{method 'item' of 'numpy.generic' objects}
26,0.000,0.000,0.000,0.000,{built-in method builtins.callable}
15,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/utils/generic.py:369(<genexpr>)
22,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:2543(default)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/contextlib.py:82(__init__)
17,0.000,0.000,0.000,0.000,{method 'keys' of 'collections.OrderedDict' objects}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/utils/import_utils.py:1478(is_torch_fx_proxy)
2,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/utils/generic.py:153(_is_torch)
3,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/_collections_abc.py:719(__iter__)
2,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/types.py:171(__get__)
2,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/utils/generic.py:114(<listcomp>)
1,0.000,0.000,0.000,0.000,{built-in method torch._C._cuda_getDevice}
2,0.000,0.000,0.000,0.000,{built-in method torch._C._set_grad_enabled}
3,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/modules/module.py:2260(<lambda>)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/cuda/__init__.py:263(_lazy_init)
